ID;userName;btpId;externalId;firstName;lastName;displayName;eMail;origin_ID;isActive;isVerified
e357bdf2-a4f9-4654-b785-7af03a7e3db7;jsmith;1001;ext1001;John;Smith;John Smith;john.smith@gmail.com;0155dc5d-ced8-4386-addc-a9ee1297ed25;true;true
d3a654c8-480f-46ca-9390-7904ba666981;adoe;1002;ext1002;Alice;Doe;Alice Doe;alice.doe@gmail.com;74804a1c-033d-4e30-9f1c-2a9e050086e8;false;true
c7764f0b-61e4-4f34-b220-baf071317f6d;bjones;1003;ext1003;Bob;Jones;Bob Jones;bob.jones@gmail.com;45eaef2b-2aa9-40c9-944e-6ed1398784ab;true;false
d9da57a7-742e-430b-ab85-56d313838da3;cmiller;1004;ext1004;Charlie;Miller;Charlie Miller;charlie.miller@gmail.com;c15fb8a5-55cc-48ff-8ca0-d5e5d2337a5b;false;false
6500579f-f6d2-4a4f-9d56-b455eadc82dd;dwilson;1005;ext1005;Diana;Wilson;Diana Wilson;diana.wilson@gmail.com;eaf8ca28-d07f-497e-a97d-25689b287cbe;true;true
98851122-4a96-43b6-9400-dd5d90e75861;emorris;1006;ext1006;Ethan;Morris;Ethan Morris;ethan.morris@gmail.com;493799a1-b010-4bf7-bf90-ca304d5e0645;false;true
1183f91f-1d46-489f-9f94-ff04dc530036;fclark;1007;ext1007;Fiona;Clark;Fiona Clark;fiona.clark@gmail.com;29ca28d4-02c2-4fb2-8e9a-cd939a19dc60;true;false
79ed016c-9599-40ee-b842-cab4eea2aa55;glewis;1008;ext1008;George;Lewis;George Lewis;george.lewis@gmail.com;b1242ac2-61c4-47da-a6d0-c11892ff0965;false;false
9ddb21eb-6f3f-4d49-9f4b-325f9a4e093c;hallen;1009;ext1009;Hannah;Allen;Hannah Allen;hannah.allen@gmail.com;f21a0407-2c30-4674-a595-bc20c23b15ef;true;true
0e7feb68-27e6-40c3-8beb-c89b04417fd5;ijackson;1010;ext1010;Ian;Jackson;Ian Jackson;ian.jackson@gmail.com;2e0589cc-060d-4d28-971b-f58f1fee0675;false;true
90d2d743-7663-43a8-9afb-d33b1553db31;jkelly;1011;ext1011;Julia;Kelly;Julia Kelly;julia.kelly@gmail.com;4be23a93-fb79-49f3-8954-1a61b934a91e;true;false
17a69d5c-e772-42c6-bfd1-ff182dc7bc2c;klee;1012;ext1012;Kevin;Lee;Kevin Lee;kevin.lee@gmail.com;db16ed9b-fc63-4c29-9dd0-f766ddb2d5a3;false;false
813f8c47-959c-47ab-887b-d0174299a76f;lmartin;1013;ext1013;Laura;Martin;Laura Martin;laura.martin@gmail.com;f9a7bd9b-56c3-491a-8711-52b91c6ae641;true;true
5114b293-0928-4c3e-9062-3129c8e1569f;mnolan;1014;ext1014;Megan;Nolan;Megan Nolan;megan.nolan@gmail.com;18544c62-ef58-47cb-a7b7-5f89b09859f9;false;true
1233b2b7-369b-4366-b4e5-210dc3942ab6;nmoore;1015;ext1015;Nathan;Moore;Nathan Moore;nathan.moore@gmail.com;2bb8df92-11d0-426e-8f5f-08eb30d5f085;true;false
1de786c8-56d1-4f29-99f4-a36587f15e76;owhite;1016;ext1016;Olivia;White;Olivia White;olivia.white@gmail.com;021658f8-ba7a-43af-bcbf-328257668ddb;false;false
27c823c0-d67b-406d-af30-52305020bc6c;pparker;1017;ext1017;Peter;Parker;Peter Parker;peter.parker@gmail.com;aa603632-7a87-4a9c-8546-9aebaf271c14;true;true
1fe42b27-10c0-4616-aac5-d34959d0e75a;qroberts;1018;ext1018;Quinn;Roberts;Quinn Roberts;quinn.roberts@gmail.com;76238315-9e6d-4510-9f90-ae3bfdae95d1;false;true
2705d03e-44e1-46ed-a6e0-1577835a179d;rsmith;1019;ext1019;Rachel;Smith;Rachel Smith;rachel.smith@gmail.com;87f3bbe4-e71d-4998-bd17-b4dec17c05b4;true;false
33a021d3-d28d-49af-ade5-ca4a4c704106;sscott;1020;ext1020;Sam;Scott;Sam Scott;sam.scott@gmail.com;87f3bbe4-e71d-4998-bd17-b4dec17c05b4;false;false
e0b754a8-eef3-4991-8313-54048079b2e8;tturner;1021;ext1021;Tina;Turner;Tina Turner;tina.turner@gmail.com;b3c341c2-a02f-4d6a-967f-e6971e9c0949;true;true
532962ab-8868-4f73-bd25-dc65df19b5d4;uadams;1022;ext1022;Uma;Adams;Uma Adams;uma.adams@gmail.com;aa603632-7a87-4a9c-8546-9aebaf271c14;false;true
1a8b4f57-d98b-4c18-ae38-dff8d6ff6828;vbell;1023;ext1023;Victor;Bell;Victor Bell;victor.bell@gmail.com;f9a7bd9b-56c3-491a-8711-52b91c6ae641;true;false
f4c8a0ab-df86-481b-9f98-73b119f4a3bd;wcooper;1024;ext1024;Wendy;Cooper;Wendy Cooper;wendy.cooper@gmail.com;74804a1c-033d-4e30-9f1c-2a9e050086e8;false;false
bf6c935e-64ce-45b5-8e74-32fe0fd2ae57;xhughes;1025;ext1025;Xavier;Hughes;Xavier Hughes;xavier.hughes@gmail.com;74804a1c-033d-4e30-9f1c-2a9e050086e8;true;true
ca4eb1a1-0a0e-4761-8694-8391fd6deefb;yjennings;1026;ext1026;Yvonne;Jennings;Yvonne Jennings;yvonne.jennings@gmail.com;76238315-9e6d-4510-9f90-ae3bfdae95d1;false;true
fed0604f-7425-4fc8-b55a-753c1b78e704;zthomas;1027;ext1027;Zach;Thomas;Zach Thomas;zach.thomas@gmail.com;f9a7bd9b-56c3-491a-8711-52b91c6ae641;true;false
ef148242-afd0-4ff2-83f9-81c75eafd79b;amurphy;1028;ext1028;Amy;Murphy;Amy Murphy;amy.murphy@gmail.com;b3c341c2-a02f-4d6a-967f-e6971e9c0949;false;false
4947af3c-1acd-4360-83e0-a763afda13cb;bnelson;1029;ext1029;Blake;Nelson;Blake Nelson;blake.nelson@gmail.com;87f3bbe4-e71d-4998-bd17-b4dec17c05b4;true;true
3121bec2-4045-4bdd-aed5-8feabea125a0;cedwards;1030;ext1030;Casey;Edwards;Casey Edwards;casey.edwards@gmail.com;76238315-9e6d-4510-9f90-ae3bfdae95d1;false;true
50c72df7-b0ff-40e9-a18b-189f0b561770;dgriffin;1031;ext1031;Drew;Griffin;Drew Griffin;drew.griffin@gmail.com;aa603632-7a87-4a9c-8546-9aebaf271c14;true;false
655e0aab-41a8-4122-945f-f7d739db430c;eharper;1032;ext1032;Ella;Harper;Ella Harper;ella.harper@gmail.com;021658f8-ba7a-43af-bcbf-328257668ddb;false;false
83d1b9dd-3208-4f26-ac4b-48e64f5901e6;fbailey;1033;ext1033;Frank;Bailey;Frank Bailey;frank.bailey@gmail.com;2bb8df92-11d0-426e-8f5f-08eb30d5f085;true;true
d10d7277-41cb-4bd3-970b-d075455e655e;gknight;1034;ext1034;Grace;Knight;Grace Knight;grace.knight@gmail.com;18544c62-ef58-47cb-a7b7-5f89b09859f9;false;true
a95ece41-6560-474a-b5b0-3426274ad292;hward;1035;ext1035;Henry;Ward;Henry Ward;henry.ward@gmail.com;f9a7bd9b-56c3-491a-8711-52b91c6ae641;true;false
d27f9c87-ebf6-424a-a28d-d063beef9567;ilopez;1036;ext1036;Isabel;Lopez;Isabel Lopez;isabel.lopez@gmail.com;db16ed9b-fc63-4c29-9dd0-f766ddb2d5a3;false;false
3e34cfea-8b9f-4db4-bf63-6fb3ef4470f1;jmitchell;1037;ext1037;Jacob;Mitchell;Jacob Mitchell;jacob.mitchell@gmail.com;45eaef2b-2aa9-40c9-944e-6ed1398784ab;true;true
3cd164a5-5cfc-47f6-a24e-05fe74fbeca4;kperez;1038;ext1038;Kylie;Perez;Kylie Perez;kylie.perez@gmail.com;b3c341c2-a02f-4d6a-967f-e6971e9c0949;false;true
d873b451-bba0-4ba6-b136-d757547c3419;lmorgan;1039;ext1039;Leo;Morgan;Leo Morgan;leo.morgan@gmail.com;0155dc5d-ced8-4386-addc-a9ee1297ed25;true;false
3b972cac-3131-4a41-9487-d9bf3a235170;mpatel;1040;ext1040;Mia;Patel;Mia Patel;mia.patel@gmail.com;c15fb8a5-55cc-48ff-8ca0-d5e5d2337a5b;false;false
